Date,Customer Code,House,Flock,Genetic Line Code,#Birds at arrival,hatch date,Date of arrival,Date of removal,Date of deactivation,Veterinarian,Hatchery,Age (Days),Birds Present (#),Birds thinned (#),Mortality (#),Mortality Cum. (#),Cum. Perc. Mortality (%),Liveability (%),Body Weight (g),Uniformity (%),Daily Gain (g),Avg. Daily Gain (g/d),Feed Intake (kg/house),FCR Cum.,Wheat / Bird Cum.,Wheat / Bird,Wheat / Day,Feed Intake / Bird Housed Cum. (kg),Feed Intake / Bird (g),Wheat (g),FCR,Water (l),Water Intake / Bird (ml),Water Intake / Bird Cum. (l),Water : Feed,Water : Feed Cum.,Comment
2016-07-08,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 0,20 495,, 5, 5, 0.02, 100.0, 43,, 0, 0,151,,,,, 0.01, 7.4,,, 6.0, 0.3, 0.0, 0.04, 0.04,
2016-07-09,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 1,20 477,, 18, 23, 0.11, 99.9, 60,, 17, 17,128, 0.8,,,, 0.01, 6.3,, 0.4, 6.0, 0.3, 0.0, 0.05, 0.04,
2016-07-10,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 2,20 438,, 39, 62, 0.30, 99.7,,,,,128,,,,, 0.02, 6.3,,, 11.0, 0.5, 0.0, 0.09, 0.06,
2016-07-11,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 3,20 365,, 73, 135, 0.66, 99.3, 80,, 10, 12,160, 0.7,,,, 0.03, 7.9,, 0.8, 20.0, 1.0, 0.0, 0.12, 0.08,
2016-07-12,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 4,20 266,, 99, 234, 1.14, 98.9, 100,, 20, 14,446, 0.5,,,, 0.03, 1.1,, 0.1, 32.0, 1.6, 0.0, 1.45, 0.13,
2016-07-13,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 5,20 123,, 143, 377, 1.84, 98.2, 120,, 20, 15,624, 0.4,,,, 0.03, 1.5,, 0.1, 43.0, 2.1, 0.0, 1.39, 0.19,
2016-07-14,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 6,19 906,, 217, 594, 2.90, 97.1, 145,, 25, 17,677, 0.3,,,, 0.03, 1.7,, 0.1, 55.0, 2.8, 0.0, 1.61, 0.27,
2016-07-15,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 7,19 678,, 228, 822, 4.01, 96.0, 175,, 30, 19,807, 0.2,,,, 0.03, 2.1,, 0.1, 64.0, 3.3, 0.0, 1.56, 0.35,
2016-07-16,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 8,19 427,, 251,1 073, 5.23, 94.8, 210,, 35, 21,971, 0.2,,,, 0.04, 2.6,, 0.1, 75.0, 3.9, 0.0, 1.50, 0.43,
2016-07-17,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 9,19 181,, 246,1 319, 6.43, 93.6, 250,, 40, 23,"1,112", 0.2,,,, 0.04, 3.0,, 0.1, 82.0, 4.3, 0.0, 1.42, 0.50,
2016-07-18,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 10,18 914,, 267,1 586, 7.74, 92.3, 285,, 35, 24,"1,002", 0.2,,,, 0.04, 2.8,, 0.1, 98.0, 5.2, 0.0, 1.85, 0.59,
2016-07-19,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 11,18 639,, 275,1 861, 9.08, 90.9, 375,, 90, 30,"1,212", 0.1,,,, 0.04, 3.5,, 0.0, 110.0, 5.9, 0.0, 1.69, 0.67,
2016-07-20,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 12,18 336,, 303,2 164, 10.56, 89.4, 370,,- 5, 27,"1,412", 0.1,,,, 0.05, 4.2,,- 0.8, 121.0, 6.6, 0.0, 1.57, 0.75,
2016-07-21,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 13,18 015,, 321,2 485, 12.12, 87.9, 415,, 45, 29,991, 0.1,,,, 0.05, 3.1,, 0.1, 122.0, 6.8, 0.0, 2.22, 0.83,
2016-07-22,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 14,17 661,, 354,2 839, 13.85, 86.2, 470,, 55, 31,"1,254", 0.1,,,, 0.05, 4.0,, 0.1, 127.0, 7.2, 0.1, 1.79, 0.90,
2016-07-23,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 15,17 640,, 21,2 860, 13.95, 86.0, 520,, 50, 32,"1,552", 0.1,,,, 0.06, 5.0,, 0.1, 171.0, 9.7, 0.1, 1.94, 0.98,
2016-07-24,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 16,17 630,, 10,2 870, 14.00, 86.0, 575,, 55, 33,"1,692", 0.1,,,, 0.06, 5.5,, 0.1, 162.0, 9.2, 0.1, 1.69, 1.04,
2016-07-25,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 17,17 617,, 13,2 883, 14.06, 85.9, 630,, 55, 35,"1,779", 0.1,,,, 0.07, 5.7,, 0.1, 170.0, 9.7, 0.1, 1.68, 1.09,
2016-07-26,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 18,17 597,, 20,2 903, 14.16, 85.8, 695,, 65, 36,"1,812", 0.1,,,, 0.07, 5.9,, 0.1, 181.0, 10.3, 0.1, 1.76, 1.14,
2016-07-27,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 19,17 581,, 16,2 919, 14.24, 85.8, 755,, 60, 37,"1,846", 0.1,,,, 0.08, 6.0,, 0.1, 182.0, 10.4, 0.1, 1.73, 1.18,
2016-07-28,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 20,17 568,, 13,2 932, 14.30, 85.7, 820,, 65, 39,"2,055", 0.1,,,, 0.08, 6.7,, 0.1, 184.0, 10.5, 0.1, 1.57, 1.21,
2016-07-29,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 21,17 554,, 14,2 946, 14.37, 85.6, 890,, 70, 40,"2,089", 0.1,,,, 0.09, 6.8,, 0.1, 208.0, 11.9, 0.1, 1.75, 1.25,
2016-07-30,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 22,17 539,, 15,2 961, 14.44, 85.6, 960,, 70, 42,"2,140", 0.1,,,, 0.10, 7.0,, 0.1, 216.0, 12.3, 0.1, 1.77, 1.28,
2016-07-31,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 23,17 531,, 8,2 969, 14.48, 85.5,1 030,, 70, 43,"2,279", 0.1,,,, 0.10, 7.4,, 0.1, 222.0, 12.7, 0.1, 1.71, 1.31,
2016-08-01,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 24,17 516,, 15,2 984, 14.56, 85.4,1 105,, 75, 44,"2,154", 0.1,,,, 0.11, 7.0,, 0.1, 214.0, 12.2, 0.2, 1.74, 1.33,
2016-08-02,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 25,17 511,, 5,2 989, 14.58, 85.4,1 175,, 70, 45,"2,119", 0.1,,,, 0.11, 6.9,, 0.1, 176.0, 10.1, 0.2, 1.45, 1.34,
2016-08-03,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 26,17 497,, 14,3 003, 14.65, 85.4,1 245,, 70, 46,"2,065", 0.1,,,, 0.12, 6.7,, 0.1, 199.0, 11.4, 0.2, 1.69, 1.36,
2016-08-04,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 27,17 490,, 7,3 010, 14.68, 85.3,1 315,, 70, 47,"2,379", 0.1,,,, 0.13, 7.8,, 0.1, 241.0, 13.8, 0.2, 1.77, 1.38,
2016-08-05,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 28,17 488,, 2,3 012, 14.69, 85.3,1 395,, 80, 48,"2,431", 0.1,,,, 0.13, 8.0,, 0.1, 276.0, 15.8, 0.2, 1.98, 1.41,
2016-08-06,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 29,17 484,, 4,3 016, 14.71, 85.3,1 480,, 85, 50,"2,797", 0.1,,,, 0.14, 9.2,, 0.1, 289.0, 16.5, 0.2, 1.81, 1.44,
2016-08-07,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 30,17 474,, 10,3 026, 14.76, 85.2,1 565,, 85, 51,"2,848", 0.1,,,, 0.15, 9.3,, 0.1, 305.0, 17.5, 0.2, 1.87, 1.46,
2016-08-08,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 31,17 468,, 6,3 032, 14.79, 85.2,1 650,, 85, 52,"2,987", 0.1,,,, 0.16, 9.8,, 0.1, 303.0, 17.4, 0.3, 1.77, 1.48,
2016-08-09,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 32,17 461,, 7,3 039, 14.82, 85.2,1 750,, 100, 53,"2,672", 0.1,,,, 0.17, 8.8,, 0.1, 280.0, 16.0, 0.3, 1.83, 1.49,
2016-08-10,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 33,17 456,, 5,3 044, 14.85, 85.2,2 030,, 280, 60,"3,107", 0.1,,,, 0.17, 10.2,, 0.0, 314.0, 18.0, 0.3, 1.76, 1.51,
2016-08-11,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 34,17 451,, 5,3 049, 14.87, 85.1,2 125,, 95, 61,"2,974", 0.2,,,, 0.32, 170.4,, 1.8, 297.0, 17.0, 0.3, 0.10, 0.85,"Tarwe  woensdag 10/08 1189 kgKernvoer 1336kg"
2016-08-12,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 35,17 449,, 2,3 051, 14.88, 85.1,2 220,, 95, 62,"2,551", 0.2,,,, 0.44, 146.2,, 1.5,4 160.0, 238.4, 0.6, 1.63, 1.08,
2016-08-13,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 36,17 446,, 3,3 054, 14.90, 85.1,2 320,, 100, 63,"2,593", 0.2,,,, 0.57, 148.6,, 1.5,4 307.0, 246.9, 0.8, 1.66, 1.21,
2016-08-14,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 37,17 439,, 7,3 061, 14.93, 85.1,2 420,, 100, 64,"2,510", 0.3,,,, 0.69, 143.9,, 1.4,4 424.0, 253.7, 1.1, 1.76, 1.31,
2016-08-15,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 38,17 430,, 9,3 070, 14.98, 85.0,2 520,, 100, 65,"2,616", 0.3,,,, 0.82, 150.1,, 1.5,4 507.0, 258.6, 1.3, 1.72, 1.37,
2016-08-16,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 39,17 428,, 2,3 072, 14.99, 85.0,,,,,,,,,, 0.82,,,,,, 1.3,,,
2016-08-17,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 40,17 428,, 0,3 072, 14.99, 85.0,,,,,,,,,, 0.82,,,,,, 1.3,,,
2016-08-18,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 41,17 428,, 0,3 072, 14.99, 85.0,,,,,,,,,, 0.82,,,,,, 1.3,,,
2016-08-19,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 42,17 428,, 0,3 072, 14.99, 85.0,,,,,,,,,, 0.82,,,,,, 1.3,,,
2016-08-20,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 43,17 428,, 0,3 072, 14.99, 85.0,,,,,,,,,, 0.82,,,,,, 1.3,,,
2016-08-21,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 44,17 428,, 0,3 072, 14.99, 85.0,,,,,,,,,, 0.82,,,,,, 1.3,,,
2016-08-22,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 45,17 428,, 0,3 072, 14.99, 85.0,,,,,,,,,, 0.82,,,,,, 1.3,,,
2016-08-23,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 46,17 428,, 0,3 072, 14.99, 85.0,,,,,,,,,, 0.82,,,,,, 1.3,,,
2016-08-24,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 47,17 428,, 0,3 072, 14.99, 85.0,,,,,,,,,, 0.82,,,,,, 1.3,,,
2016-08-25,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 48,17 423,, 5,3 077, 15.01, 85.0, 48,,- 247, 0,,,,,, 0.82,,,, 110.0, 6.3, 1.3,,,
2016-08-26,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 49,17 418,, 5,3 082, 15.03, 85.0, 50,, 2, 0,,,,,, 0.82,,,, 143.0, 8.2, 1.3,,,
2016-08-27,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 50,17 401,, 17,3 099, 15.12, 84.9, 65,, 15, 0,458, 37.9,,,, 0.84, 26.3,, 1.8, 318.0, 18.3, 1.3, 0.69, 1.37,
2016-08-28,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 51,17 363,, 38,3 137, 15.30, 84.7, 80,, 15, 1,104, 22.6,,,, 0.85, 6.0,, 0.4, 340.0, 19.6, 1.4, 3.27, 1.38,
2016-08-29,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 52,17 316,, 47,3 184, 15.53, 84.5, 100,, 20, 1,464, 15.0,,,, 0.87, 26.8,, 1.3, 593.0, 34.3, 1.4, 1.28, 1.38,
2016-08-30,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 53,17 293,, 23,3 207, 15.64, 84.4, 120,, 20, 1,596, 11.5,,,, 0.90, 34.5,, 1.7, 676.0, 39.1, 1.4, 1.13, 1.37,
2016-08-31,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 54,17 273,, 20,3 227, 15.74, 84.3, 145,, 25, 2,732, 9.0,,,, 0.93, 42.4,, 1.7, 934.0, 54.1, 1.5, 1.28, 1.37,
2016-09-01,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 55,17 256,, 17,3 244, 15.82, 84.2, 175,, 30, 2,701, 7.2,,,, 0.97, 40.6,, 1.4,1 254.0, 72.7, 1.6, 1.79, 1.38,
2016-09-02,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 56,17 239,, 17,3 261, 15.91, 84.1, 205,, 30, 3,836, 6.1,,,, 1.01, 48.5,, 1.6,1 488.0, 86.3, 1.6, 1.78, 1.40,
2016-09-03,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 57,17 228,, 11,3 272, 15.96, 84.0, 245,, 40, 4,"1,000", 5.2,,,, 1.06, 58.1,, 1.5,1 683.0, 97.7, 1.7, 1.68, 1.41,
2016-09-04,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 58,17 211,, 17,3 289, 16.04, 84.0, 275,, 30, 4,951, 4.7,,,, 1.11, 55.3,, 1.8,1 884.0, 109.5, 1.9, 1.98, 1.43,
2016-09-05,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 59,17 186,, 25,3 314, 16.17, 83.8, 325,, 50, 5,901, 4.0,,,, 1.15, 52.4,, 1.0,2 072.0, 120.6, 2.0, 2.30, 1.47,
2016-09-06,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 60,17 175,, 11,3 325, 16.22, 83.8, 375,, 50, 6,"1,219", 3.6,,,, 1.21, 71.0,, 1.4,2 321.0, 135.1, 2.1, 1.90, 1.49,
2016-09-07,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 61,17 165,, 10,3 335, 16.27, 83.7, 415,, 40, 6,924, 3.3,,,, 1.25, 53.8,, 1.3,2 359.0, 137.4, 2.3, 2.55, 1.53,
2016-09-08,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 62,17 149,, 16,3 351, 16.35, 83.7, 470,, 55, 7,"1,663", 3.1,,,, 1.33, 97.0,, 1.8,2 696.0, 157.2, 2.4, 1.62, 1.53,
2016-09-09,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 63,17 141,, 8,3 359, 16.39, 83.6, 525,, 55, 8,"1,416", 2.9,,,, 1.40, 82.6,, 1.5,2 865.0, 167.1, 2.6, 2.02, 1.56,
2016-09-10,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 64,17 131,, 10,3 369, 16.43, 83.6, 580,, 55, 8,"1,539", 2.7,,,, 1.48, 89.8,, 1.6,3 067.0, 179.0, 2.8, 1.99, 1.58,
2016-09-11,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 65,17 123,, 8,3 377, 16.47, 83.5, 640,, 60, 9,"1,636", 2.6,,,, 1.56, 95.5,, 1.6,3 208.0, 187.4, 2.9, 1.96, 1.60,
2016-09-12,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 66,17 119,, 4,3 381, 16.49, 83.5, 700,, 60, 10,,,,,, 1.56,,,,,, 2.9,,,
2016-09-13,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 67,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-14,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 68,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-15,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 69,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-16,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 70,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-17,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 71,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-18,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 72,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-19,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 73,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-20,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 74,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-21,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 75,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-22,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 76,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-23,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 77,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-24,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 78,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-25,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 79,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-26,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 80,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-27,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 81,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-28,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 82,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-29,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 83,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-09-30,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 84,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-10-01,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 85,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-10-02,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 86,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-10-03,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 87,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-10-04,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 88,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-10-05,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 89,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-10-06,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 90,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-10-07,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 91,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-10-08,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 92,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-10-09,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 93,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-10-10,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 94,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-10-11,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 95,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-10-12,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 96,17 119,, 0,3 381, 16.49, 83.5,,,,,,,,,, 1.56,,,,,, 2.9,,,
2016-10-13,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 97,17 119,, 0,3 381, 16.49, 83.5, 45,,- 21, 0,"1,511", 803.7,,,, 1.63, 88.3,,- 4.2, 100.0, 5.8, 2.9, 0.07, 1.53,
2016-10-13,A, 1,2016-10,AA,20 900,2016-10-13,2016-10-13,,2016-11-24,,, 0,20 900,, 0, 0, 0.00, 100.0, 45,, 0, 0,"1,511",,,,, 0.07, 72.3,,, 100.0, 4.8, 0.0, 0.07, 0.07,
2016-10-14,A, 1,2016-10,AA,20 900,2016-10-13,2016-10-13,,2016-11-24,,, 1,20 900,, 0, 0, 0.00, 100.0, 50,, 5, 5,0, 14.5,,,, 0.07, 0.0,, 0.0, 180.0, 8.6, 0.0,, 0.19,
2016-10-14,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 98,17 119,, 0,3 381, 16.49, 83.5, 50,, 5, 0,0, 229.6,,,, 1.63, 0.0,, 0.0, 180.0, 10.5, 3.0,, 1.54,
2016-10-15,A, 1,2016-10,AA,20 900,2016-10-13,2016-10-13,,2016-11-24,,, 2,20 848,, 52, 52, 0.25, 99.8, 65,, 15, 10,0, 3.6,,,, 0.07, 0.0,, 0.0, 460.0, 22.1, 0.0,, 0.49,
2016-10-15,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 99,17 067,, 52,3 433, 16.75, 83.3, 65,, 15, 0,0, 72.8,,,, 1.63, 0.0,, 0.0, 460.0, 27.0, 3.0,, 1.55,
2016-10-16,A, 1,2016-10,AA,20 900,2016-10-13,2016-10-13,,2016-11-24,,, 3,20 820,, 28, 80, 0.38, 99.6, 80,, 15, 12,491, 2.7,,,, 0.10, 23.6,, 1.6, 590.0, 28.3, 0.1, 1.20, 0.67,
2016-10-16,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 100,17 039,, 28,3 461, 16.88, 83.1, 80,, 15, 0,491, 43.9,,,, 1.66, 28.8,, 1.9, 590.0, 34.6, 3.0, 1.20, 1.55,
2016-10-17,A, 1,2016-10,AA,20 900,2016-10-13,2016-10-13,,2016-11-24,,, 4,20 739,, 81, 161, 0.77, 99.2, 100,, 20, 14,456, 2.1,,,, 0.12, 22.0,, 1.1, 780.0, 37.6, 0.1, 1.71, 0.86,
2016-10-17,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 101,16 958,, 81,3 542, 17.28, 82.7, 100,, 20, 1,456, 28.7,,,, 1.68, 26.9,, 1.3, 780.0, 46.0, 3.1, 1.71, 1.55,
2016-10-18,A, 1,2016-10,AA,20 900,2016-10-13,2016-10-13,,2016-11-24,,, 5,20 710,, 29, 190, 0.91, 99.1, 120,, 20, 15,560, 1.9,,,, 0.14, 27.0,, 1.4, 954.0, 46.1, 0.1, 1.70, 1.02,
2016-10-18,A, 1,2016-07,AA,20 500,2016-07-08,2016-07-08,,2016-10-10,,A, 102,16 929,, 29,3 571, 17.42, 82.6, 120,, 20, 1,560, 21.6,,,, 1.71, 33.1,, 1.7, 954.0, 56.4, 3.1, 1.70, 1.55,
2016-10-19,A, 1,2016-10,AA,20 900,2016-10-13,2016-10-13,,2016-11-24,,, 6,20 690,, 20, 210, 1.00, 99.0, 145,, 25, 17,803, 1.8,,,, 0.18, 38.8,, 1.6,1 192.0, 57.6, 0.2, 1.48, 1.12,
